"Date","CPT_pos","CPT_neg"
2009-07-01,0.0360181407726019,-0.00103922423080836
2009-08-01,0.0307672063527472,-0.00111418306217426
2009-09-01,0.0311095641509218,-0.000305275595846977
2009-10-01,0.0407990880003049,-0.00250076711585068
2009-11-01,0.0539103713388413,-0.00142710885617475
2009-12-01,0.0567240993799375,0.00108609315529191
2010-01-01,0.0386451927756834,0.00740845064581381
2010-02-01,0.0706569080221835,-0.00165111650828015
2010-03-01,0.0770198833610573,-0.000947337233650966
2010-04-01,0.0856063079734987,-0.004058347380694
2010-05-01,0.0849035413569578,-0.00522301235658814
2010-06-01,0.0854609850986694,-0.00577581258333563
2010-07-01,0.0840310768305797,-0.00610573403637233
2010-08-01,0.0904302027476823,-0.00747174390914345
2010-09-01,0.0966810562204712,-0.00421802148166659
2010-10-01,0.0994950734606389,-0.00365832988451875
2010-11-01,0.096272151565548,-0.00861164310840302
2010-12-01,0.12019475466196,-0.00752625989058868
2011-01-01,0.123008410935707,-0.00697650230355353
2011-02-01,0.0966286999748741,-0.000379722154671077
2011-03-01,0.0886502580220626,0.00355378143518462
2011-04-01,0.078567199816841,0.00513175219395648
2011-05-01,0.0713781342775135,0.0071654490493657
2011-06-01,0.0808315935148215,0.00356005303558981
2011-07-01,0.0734930121099316,0.0052323599514681
2011-08-01,0.0676879368119446,0.0105491055410182
2011-09-01,0.0637511908995612,0.0186114309818275
2011-10-01,0.067644439130626,0.0118649474238417
2011-11-01,0.0636502460287387,0.012102448970055
2011-12-01,0.071221926085254,0.00421649393139727
2012-01-01,0.0628994597286362,0.0020591676442281
2012-02-01,0.0640884486602749,-0.00823686784560088
2012-03-01,0.0573854539080673,-0.00642015266622364
2012-04-01,0.054614752580348,-0.00375503783188964
2012-05-01,0.0542175240420438,-0.0025077450759948
2012-06-01,0.0405289372501796,-0.00241643143750845
2012-07-01,0.0410044316190007,-0.000789988754434514
2012-08-01,0.0388901968102276,0.000756557267244195
2012-09-01,0.0409054583047674,0.00393412163995102
2012-10-01,0.0436664949176647,0.00658949097358855
