"Model","BG12_stat","BG12_p","BP_stat","BP_p","RESET2_OLS_p","RESET23_OLS_p","RESET_HAC_F","RESET_HAC_p","RESET_HAC_pass","RecCUSUM_stat","RecCUSUM_p","OLS_CUSUM_stat","OLS_CUSUM_p"
"PPAC Petrol",15.669,0.2069,47.1691,0.0067,0.2072,0.3715,1.084,0.3401,"PASS",0.4823,0.6669,0.3934,0.9978
"CPI Fuel and Light",9.9539,0.62,20.352,0.7281,0.8942,0.828,0.1924,0.8252,"PASS",0.5397,0.5377,0.7066,0.7003
"PPAC Petrol to Fuel CPI",9.0558,0.6982,5.5543,0.7836,0.4632,0.2605,2.2192,0.1122,"PASS",0.7817,0.1549,0.8265,0.5017
