"Period","N","CPT_pos","CPT_neg","CPTpos_p","CPTneg_p","Asym_p","Adj_R2"
"Pre-2014 (Brent+EXR)",122,0.038993,0.000573,0.2509,0.9594,0.3527,0.3836
"Post-2014 (Brent+EXR)",123,0.007632,-0.003109,0.5582,0.743,0.5137,0.4904
