"Period","N","CPT_Plus","CPT_Minus","Gap","Adj_R2"
"Pre-2014 (Apr 2004 – Sep 2014)",122,0.017322,0.009873,0.007448,0.3567
"Post-2014 (Oct 2014 – Dec 2024)",123,0.010245,-0.002002,0.008244,0.4996
