"Test","Statistic","P_Value","Result"
"Breusch-Godfrey LM (12)",19.7094,0.0728,"PASS"
"Breusch-Pagan",44.761,0.0125,"FAIL (HAC inference retained)"
"Ramsey RESET",2.8025,0.0629,"PASS"
"CUSUM",0.8638,0.091,"PASS (within bounds)"
