"Model","Obs_Wald_F","Asymptotic_p","Bootstrap_p","B","Failures","Method"
"Headline WPI ADL (INR oil)",0.1786,"0.6727",0.7461,4999,0,"Restricted-residual circular block bootstrap"
"Fuel & Power WPI ADL",0.0758,"0.7832",0.8196,4999,0,"Restricted-residual circular block bootstrap"
