"Variable","Form","ADF_stat","ADF_cv1","ADF_cv5","ADF_cv10","PP_stat","KPSS_stat","KPSS_cv10","KPSS_cv5","ADF_result","KPSS_result"
"ln(WPI)","Level",-0.9989,-3.96,-3.41,-3.12,-0.7679,1.5936,0.119,0.146,"I(1)","I(1)"
"ln(Oil INR)","Level",-3.7796,-3.96,-3.41,-3.12,-3.2335,0.6729,0.119,0.146,"I(0)","I(1)"
"ln(Brent USD)","Level",-3.5067,-3.96,-3.41,-3.12,-3.0522,0.6084,0.119,0.146,"I(0)","I(1)"
"ln(EXR)","Level",-1.8805,-3.96,-3.41,-3.12,-1.7716,1.3561,0.119,0.146,"I(1)","I(1)"
"dln(WPI)","First Diff",-12.2226,-3.43,-2.86,-2.57,-14.3946,0.8999,0.347,0.463,"I(0)","I(1)"
"dln(Oil INR)","First Diff",-15.1502,-3.43,-2.86,-2.57,-17.0692,0.0358,0.347,0.463,"I(0)","I(0)"
"dln(Brent)","First Diff",-14.952,-3.43,-2.86,-2.57,-16.8456,0.0733,0.347,0.463,"I(0)","I(0)"
"dln(EXR)","First Diff",-14.4185,-3.43,-2.86,-2.57,-17.7787,0.4624,0.347,0.463,"I(0)","I(0)"
