"Model","Obs_Wald_F","Asymptotic_p","Bootstrap_p","B","Failures","Method"
"M1: Asym INR (headline)",1.3835,"0.2408",0.4997,4999,0,"Restricted-residual circular block bootstrap"
"M2: Brent+EXR (robustness)",2.1471,"0.1443",0.5677,4999,0,"Restricted-residual circular block bootstrap"
