"date","CPT_pos","CPT_neg","Asym_p"
2009-07-01,0.0315531880066489,0.004568594841026,0.635763643661909
2009-08-01,0.0268149985767686,0.00485503381353924,0.680001920635065
2009-09-01,0.0273099305968842,0.00548314959919276,0.677108188947611
2009-10-01,0.0415064017355602,-2.04218482540626e-05,0.408114396916268
2009-11-01,0.0603881967872673,0.00533438771262696,0.290763011060523
2009-12-01,0.0665345263466713,0.00873934675067378,0.282374283700519
2010-01-01,0.0426732833354549,0.0168200657103918,0.624266295484639
2010-02-01,0.0723905372715189,0.00460243435485322,0.196889805025063
2010-03-01,0.0783680986961955,0.0057796208892549,0.151198086115947
2010-04-01,0.0844801345809189,0.00366682401425837,0.144698967708451
2010-05-01,0.0779587939385094,0.00271114252406183,0.169768733020181
2010-06-01,0.0777902024761846,0.00241242715097343,0.170271803421563
2010-07-01,0.0769513535163697,0.0024144720714683,0.154366043615682
2010-08-01,0.0812313684730172,4.55723700349387e-05,0.114879426544995
2010-09-01,0.0906123831530253,0.00272660986364286,0.092180115834916
2010-10-01,0.0935228427363099,0.00281596598460481,0.0834795130446658
2010-11-01,0.0900074229484991,-0.000148099986844351,0.0955229190391343
2010-12-01,0.113047636522929,-0.00120237646254428,0.0419299651744013
2011-01-01,0.1127208896336,0.000439175823663672,0.0373175286707179
2011-02-01,0.0712956251859845,0.0106590575239454,0.304490448131079
2011-03-01,0.0674037658688007,0.0127239818902678,0.301734862626671
2011-04-01,0.0594094519312479,0.0129213918646429,0.360692684634619
2011-05-01,0.0531484954717524,0.0148274648644316,0.438720290638193
2011-06-01,0.0591443598036336,0.0118330162151231,0.347954548603131
2011-07-01,0.0569435554405572,0.0118969295933012,0.325062087038734
2011-08-01,0.050042268854606,0.0164933686704437,0.455995271900146
2011-09-01,0.0501483030847044,0.0182192234171957,0.490025102043015
2011-10-01,0.0507988110225343,0.0154376676129667,0.441146163931649
2011-11-01,0.0440016823507381,0.0159719984115136,0.539864668174171
2011-12-01,0.0435548743893728,0.0110197559323152,0.500715629139866
2012-01-01,0.0375508422606948,0.00683017694824705,0.51969809436038
2012-02-01,0.0368372921664836,0.000927262849197906,0.439795423164893
2012-03-01,0.0325124393568871,0.00288296480342067,0.543853997844792
2012-04-01,0.0223648312524921,0.00641018412849057,0.764141092313153
2012-05-01,0.0246479311500795,0.00738866862873697,0.745043701137806
2012-06-01,0.0163348151943905,0.00855977740703513,0.887071591549866
2012-07-01,0.00850296973713428,0.0130706521932402,0.929489455856372
2012-08-01,0.00732918610760983,0.0135144675107845,0.903337317055254
2012-09-01,0.00618456153219373,0.0186355918203782,0.794439421152694
2012-10-01,0.00759853902815662,0.0197947871698478,0.785848445264296
2012-11-01,0.0115507035979774,0.0250435129690479,0.760691585005815
2012-12-01,0.0113017443717282,0.0302407772749073,0.656891727151578
2013-01-01,0.00853951041374994,0.0393223604119405,0.482723271551538
2013-02-01,0.00361744048914591,0.0388261065708271,0.45828220082877
2013-03-01,0.00879054943564891,0.0356182766533831,0.569843447783273
2013-04-01,0.00348846686790871,0.0360385603791897,0.516361609909333
2013-05-01,-0.00504564513084117,0.0349869730387031,0.435918442474395
2013-06-01,0.0003425533972643,0.0362762253261563,0.484791484130774
2013-07-01,0.00380373096005882,0.0467988878408402,0.428036380126081
2013-08-01,-0.00647533673137103,0.0497057681929651,0.267696655543786
2013-09-01,-0.0126129914114978,0.0503418709506369,0.226979667054126
2013-10-01,-0.00743072247281563,0.0520994958093759,0.223719574773411
2013-11-01,-0.00756622154633997,0.0575898408225929,0.189772854575496
2013-12-01,0.00659897725626533,-0.0208115088698268,0.656579081012935
2014-01-01,0.0235856445821086,-0.0773604425662369,0.244924934053151
2014-02-01,0.0184971434340293,-0.0539698387874653,0.403157463265099
2014-03-01,0.000785621818754675,0.0166399820894589,0.870586111806499
2014-04-01,-0.00191806910672634,0.0124629729149043,0.881439393682204
2014-05-01,-0.00725894597853156,0.0442353304788924,0.574090506413583
2014-06-01,0.00472248639931193,0.0442967071773264,0.644229103363858
2014-07-01,-0.000907749282328903,0.0154857602246989,0.843227763913629
2014-08-01,0.0175776620511905,0.0134225121547826,0.960066330044401
2014-09-01,0.0177920318916291,0.0395143897362958,0.792302346347598
2014-10-01,0.0188180355398368,0.0457810828816451,0.746182223235067
2014-11-01,-0.00789574778051873,0.0629025955613585,0.345320629720083
2014-12-01,-0.00294853591262423,0.0460547211642669,0.488415096056179
2015-01-01,-0.0100746360839156,0.0361565279919675,0.395550843504275
2015-02-01,-0.00845149043969103,0.0328227699266851,0.379489709477122
2015-03-01,-0.0100358992766734,-0.0039643764283677,0.906165605535374
