"Model","Mandatory","N","Sample_start","Sample_end","Span_years","Duration_20Y","Diagnostics_OK","Bootstrap_run","Gate_status","Note"
"M1 headline","YES",245,"2004-08-01","2024-12-01",20.42,"YES","YES","YES","PASS","Mandatory headline model"
"PPAC mechanism","YES",245,"2004-08-01","2024-12-01",20.42,"YES","YES","Not required","PASS","Mandatory first-stage transmission model"
