"date","petrol_delhi","diesel_delhi"
2019-10-01,73.46,79.07
2019-11-01,73.69,79.35
2019-12-01,74.81,80.47
2020-01-01,75.01,80.61
2020-02-01,72.23,77.89
2020-03-01,70.15,75.86
2020-04-01,69.59,76.31
2020-05-01,71.04,76.31
2020-06-01,76.1,83.01
2020-07-01,80.43,87.19
2020-08-01,80.95,87.66
2020-09-01,81.56,88.22
2020-10-01,81.06,87.74
2020-11-01,81.31,88
2020-12-01,83.54,90.17
2021-01-01,84.89,91.5
2021-02-01,88.83,95.3
2021-03-01,91.06,97.47
2021-04-01,90.47,96.9
2021-05-01,92.32,98.63
2021-06-01,96.52,102.68
2021-07-01,101.09,107.1
2021-08-01,101.74,107.74
2021-09-01,101.24,107.31
2021-10-01,105.43,111.37
2021-11-01,104.57,110.56
2021-12-01,95.69,109.98
2022-01-01,95.41,109.98
2022-02-01,95.41,109.98
2022-03-01,96.51,111.14
2022-04-01,105.05,120.13
2022-05-01,102.61,117.56
2022-06-01,96.72,111.35
2022-07-01,96.72,108.59
2022-08-01,96.72,106.31
2022-09-01,96.72,106.31
2022-10-01,96.72,106.31
2022-11-01,96.72,106.31
2022-12-01,96.72,106.31
2023-01-01,96.72,106.31
2023-02-01,96.72,106.31
2023-03-01,96.72,106.31
2023-04-01,96.72,106.31
2023-05-01,96.72,106.31
2023-06-01,96.72,106.31
2023-07-01,96.72,106.31
2023-08-01,96.72,106.31
2023-09-01,96.72,106.31
2023-10-01,96.72,106.31
2023-11-01,96.72,106.31
2023-12-01,96.72,106.31
2024-01-01,96.72,106.31
2024-02-01,96.72,106.31
2024-03-01,95.62,105.16
2024-04-01,94.72,104.21
2024-05-01,94.72,104.21
2024-06-01,94.72,104.16
2024-07-01,94.72,103.44
2024-08-01,94.72,103.44
2024-09-01,94.72,103.44
2024-10-01,94.72,103.44
2024-11-01,94.77,103.44
2024-12-01,94.77,103.5
