"date","fuel_cpi","group","subgroup","sector","state","baseyear"
2017-06-01,128.8,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2017-07-01,129.4,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2017-08-01,129.8,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2017-09-01,131,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2017-10-01,132.2,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2017-11-01,135.3,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2017-12-01,136.6,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2018-01-01,136.6,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2018-02-01,136.7,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2018-03-01,136.5,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2018-04-01,136.5,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2018-05-01,136.9,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2018-06-01,138.1,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2018-07-01,139.7,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2018-08-01,140.9,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2018-09-01,142.3,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2018-10-01,143.5,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2018-11-01,145.1,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2018-12-01,142.7,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2019-01-01,139.5,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2019-02-01,138.4,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2019-03-01,139.7,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2019-04-01,140,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2019-05-01,140.3,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2019-06-01,141.2,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2019-07-01,139.3,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2019-08-01,138.5,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2019-09-01,139.2,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2019-10-01,140.6,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2019-11-01,142.3,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2019-12-01,143.7,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2020-01-01,144.6,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2020-02-01,147.2,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2020-03-01,148.9,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2020-04-01,144.1,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2020-05-01,142.5,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2020-06-01,141.9,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2020-07-01,143,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2020-08-01,142.9,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2020-09-01,143.1,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2020-10-01,143.6,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2020-11-01,144.6,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2020-12-01,147.9,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2021-01-01,150.2,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2021-02-01,152.4,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2021-03-01,155.5,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2021-04-01,155.6,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2021-05-01,159.4,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2021-06-01,159.8,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2021-07-01,160.7,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2021-08-01,161.4,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2021-09-01,162.6,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2021-10-01,164.2,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2021-11-01,163.9,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2021-12-01,164.1,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2022-01-01,164.2,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2022-02-01,165.7,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2022-03-01,167.2,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2022-04-01,172.2,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2022-05-01,174.6,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2022-06-01,176,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2022-07-01,179.6,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2022-08-01,178.8,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2022-09-01,179.5,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2022-10-01,180.5,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2022-11-01,181.3,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2022-12-01,182,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2023-01-01,182,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2023-02-01,182.1,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2023-03-01,181.9,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2023-04-01,181.7,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2023-05-01,182.8,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2023-06-01,182.9,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2023-07-01,186.2,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2023-08-01,186.5,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2023-09-01,179.3,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2023-10-01,179.8,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2023-11-01,179.9,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2023-12-01,180.2,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2024-01-01,180.9,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2024-02-01,180.7,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2024-03-01,175.8,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2024-04-01,174.4,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2024-05-01,176.1,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2024-06-01,176.3,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2024-07-01,176,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2024-08-01,176.7,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2024-09-01,176.9,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2024-10-01,176.8,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2024-11-01,176.6,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
2024-12-01,177.8,"Fuel and Light","Fuel and Light-Overall","Combined","All India","2012"
