"date","raw_value","series","segment","chained_2011"
1995-08-01,114.5,"Fuel & Power WPI","1993-94 base -> 2011-12",24.1796856852037
1995-09-01,114.5,"Fuel & Power WPI","1993-94 base -> 2011-12",24.1796856852037
1995-10-01,114.5,"Fuel & Power WPI","1993-94 base -> 2011-12",24.1796856852037
1995-11-01,114.5,"Fuel & Power WPI","1993-94 base -> 2011-12",24.1796856852037
1995-12-01,114.5,"Fuel & Power WPI","1993-94 base -> 2011-12",24.1796856852037
1996-01-01,114.5,"Fuel & Power WPI","1993-94 base -> 2011-12",24.1796856852037
1996-02-01,114.7,"Fuel & Power WPI","1993-94 base -> 2011-12",24.2219209440425
1996-03-01,114.7,"Fuel & Power WPI","1993-94 base -> 2011-12",24.2219209440425
1996-04-01,116.9,"Fuel & Power WPI","1993-94 base -> 2011-12",24.6865087912691
1996-05-01,117,"Fuel & Power WPI","1993-94 base -> 2011-12",24.7076264206885
1996-06-01,117,"Fuel & Power WPI","1993-94 base -> 2011-12",24.7076264206885
1996-07-01,128.1,"Fuel & Power WPI","1993-94 base -> 2011-12",27.051683286241
1996-08-01,129.1,"Fuel & Power WPI","1993-94 base -> 2011-12",27.2628595804349
1996-09-01,129.1,"Fuel & Power WPI","1993-94 base -> 2011-12",27.2628595804349
1996-10-01,129.3,"Fuel & Power WPI","1993-94 base -> 2011-12",27.3050948392737
1996-11-01,129.9,"Fuel & Power WPI","1993-94 base -> 2011-12",27.4318006157901
1996-12-01,130,"Fuel & Power WPI","1993-94 base -> 2011-12",27.4529182452095
1997-01-01,130,"Fuel & Power WPI","1993-94 base -> 2011-12",27.4529182452095
1997-02-01,130,"Fuel & Power WPI","1993-94 base -> 2011-12",27.4529182452095
1997-03-01,130,"Fuel & Power WPI","1993-94 base -> 2011-12",27.4529182452095
1997-04-01,138.8,"Fuel & Power WPI","1993-94 base -> 2011-12",29.311269634116
1997-05-01,138.8,"Fuel & Power WPI","1993-94 base -> 2011-12",29.311269634116
1997-06-01,138.8,"Fuel & Power WPI","1993-94 base -> 2011-12",29.311269634116
1997-07-01,138.8,"Fuel & Power WPI","1993-94 base -> 2011-12",29.311269634116
1997-08-01,138.8,"Fuel & Power WPI","1993-94 base -> 2011-12",29.311269634116
1997-09-01,147.4,"Fuel & Power WPI","1993-94 base -> 2011-12",31.1273857641837
1997-10-01,147.5,"Fuel & Power WPI","1993-94 base -> 2011-12",31.148503393603
1997-11-01,147.3,"Fuel & Power WPI","1993-94 base -> 2011-12",31.1062681347643
1997-12-01,147.3,"Fuel & Power WPI","1993-94 base -> 2011-12",31.1062681347643
1998-01-01,147.3,"Fuel & Power WPI","1993-94 base -> 2011-12",31.1062681347643
1998-02-01,147.5,"Fuel & Power WPI","1993-94 base -> 2011-12",31.148503393603
1998-03-01,147.9,"Fuel & Power WPI","1993-94 base -> 2011-12",31.2329739112806
1998-04-01,149.3,"Fuel & Power WPI","1993-94 base -> 2011-12",31.5286207231521
1998-05-01,149,"Fuel & Power WPI","1993-94 base -> 2011-12",31.4652678348939
1998-06-01,148.9,"Fuel & Power WPI","1993-94 base -> 2011-12",31.4441502054745
1998-07-01,147.4,"Fuel & Power WPI","1993-94 base -> 2011-12",31.1273857641837
1998-08-01,147.5,"Fuel & Power WPI","1993-94 base -> 2011-12",31.148503393603
1998-09-01,147.5,"Fuel & Power WPI","1993-94 base -> 2011-12",31.148503393603
1998-10-01,147.5,"Fuel & Power WPI","1993-94 base -> 2011-12",31.148503393603
1998-11-01,147.5,"Fuel & Power WPI","1993-94 base -> 2011-12",31.148503393603
1998-12-01,147.5,"Fuel & Power WPI","1993-94 base -> 2011-12",31.148503393603
